Sum of Volume Per Date,Column Labels,,,,,,,,,,,
Row Labels,5/6/2026 0:00,5/7/2026 0:00,5/8/2026 0:00,5/9/2026 0:00,5/10/2026 0:00,5/11/2026 0:00,5/12/2026 0:00,5/13/2026 0:00,5/14/2026 0:00,5/15/2026 0:00,5/16/2026 0:00,Grand Total
Confluence,,2,20,8,14,220,395,475,565,560,73,2332
ThirdParty,70,216,194,30,55,282,289,343,290,284,25,2078
Jira,,1,6,9,7,101,169,204,233,204,23,957
AzureDevOps,,,2,,11,77,122,139,179,167,9,706
ServiceNowKB,,2,8,3,9,55,91,93,87,72,7,427
Intranet,,,6,5,1,47,57,89,91,85,6,387
ServiceNowTickets,1,,1,1,1,11,25,49,69,57,1,216
JiraOnPremise,,,,,,12,27,10,35,22,1,107
ZendeskTicket,,,,,2,3,9,14,29,12,,69
AzureWiki,,,,,,2,15,16,20,11,1,65
Unily,,,1,,,1,6,10,17,10,4,49
SmartsheetSheet,,,,,,6,19,9,5,6,1,46
Gong,,,,,,1,5,4,10,7,,27
SalesForce,,,,,,1,3,6,3,6,,19
ZendeskHelpCenter,,,,,,,2,1,1,2,,6
ServiceNowCatalog,,,,,,1,1,1,,1,1,5
Asana,,,,,,,2,1,,1,,4
FreshService,,,,,,,,1,1,1,,3
Tableau,,,,,,,,,1,1,,2
VeevaVaultQualityDocs,,,,,,1,,,1,,,2
Monday,,,,,,,,1,,1,,2
StackOverflow,,,,,,,,,1,,,1
GoogleDrive,,,,,,1,,,,,,1
GitHubCloudPullRequests,,,,,,,,,,1,,1
Grand Total,71,221,238,56,100,822,1237,1466,1638,1511,152,7512
